app_temp,azimuth,clouds,datetime,dewpt,dhi,dni,elev_angle,ghi,h_angle,pod,precip,pres,revision_status,rh,slp,snow,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/description,weather/code,weather/icon,wind_dir,wind_gust_spd,wind_spd
7.4,343,54,2023-03-15:00,6.7,0,0,-49.2,0,,n,0,996,final,95,1023,0,0,7.4,2023-03-15T00:00:00,2023-03-15T00:00:00,1678838400,0,16,Broken clouds,803,c03n,82,2.4,1.2
7.3,6.2,100,2023-03-15:01,6.3,0,0,-50.2,0,,n,0,996,final,95,1023,0,0,7,2023-03-15T01:00:00,2023-03-15T01:00:00,1678842000,0,16,Overcast clouds,804,c04n,64,2.8,0.8
6.3,28.4,100,2023-03-15:02,6,0,0,-46.9,0,,n,0,994,final,95,1022,0,0,6.7,2023-03-15T02:00:00,2023-03-15T02:00:00,1678845600,0,16,Overcast clouds,804,c04n,64,3.2,1.2
4.4,46.8,100,2023-03-15:03,5.2,0,0,-40,0,,n,0,994,final,95,1022,0,0,5.9,2023-03-15T03:00:00,2023-03-15T03:00:00,1678849200,0,16,Overcast clouds,804,c04n,66,3.2,2
4.1,61.5,100,2023-03-15:04,5.5,0,0,-30.9,0,,n,0,993,final,97,1021,0,0,5.9,2023-03-15T04:00:00,2023-03-15T04:00:00,1678852800,0,16,Fog,741,a05n,68,3.2,2.4
3.7,73.5,100,2023-03-15:05,5.6,0,0,-20.5,0,,n,0,993,final,100,1021,0,0,5.6,2023-03-15T05:00:00,2023-03-15T05:00:00,1678856400,0,16,Fog,741,a05n,68,3.6,2.4
3.7,84.1,100,2023-03-15:06,5.2,0,0,-9.5,0,,n,0,992,final,97,1020,0,0,5.6,2023-03-15T06:00:00,2023-03-15T06:00:00,1678860000,0,16,Fog,741,a05n,70,4.4,2.4
3.4,94.1,94,2023-03-15:07,5.2,17,106,1.7,12,,d,0,992,final,97,1020,0,20,5.6,2023-03-15T07:00:00,2023-03-15T07:00:00,1678863600,0.6,16,Fog,741,a05n,74,5.2,2.8
4.7,104.3,24,2023-03-15:08,6,61,552,12.8,175,,d,0,992,final,95,1019,0,174,6.7,2023-03-15T08:00:00,2023-03-15T08:00:00,1678867200,1.6,16,Scattered clouds,802,c02d,78,5.6,2.8
8.9,115.5,0,2023-03-15:09,8.1,84,724,23.3,364,,d,0,992,final,95,1019,0,364,8.9,2023-03-15T09:00:00,2023-03-15T09:00:00,1678870800,2.5,16,Clear Sky,800,c01d,84,5.6,2
