,dt,dt_iso,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description,Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),Inj_code
0,1632873600,2021-09-29 00:00:00 +0000 UTC,13.97,13.54,11.45,14.04,1027,81,1.96,0.895706,87,overcast clouds,2021-09-29,0,0.0,0.0,0.0,None,3
1,1632877200,2021-09-29 01:00:00 +0000 UTC,13.48,13.02,13.43,13.9,1028,82,1.83,0.895706,91,overcast clouds,2021-09-29,1,0.0,0.0,0.0,None,3
2,1632880800,2021-09-29 02:00:00 +0000 UTC,12.93,12.47,12.72,13.43,1027,84,1.96,0.895706,93,overcast clouds,2021-09-29,2,0.0,0.0,0.0,None,3
3,1632884400,2021-09-29 03:00:00 +0000 UTC,12.61,12.15,10.34,12.93,1027,85,1.85,0.895706,95,overcast clouds,2021-09-29,3,0.0,0.0,0.0,None,3
4,1632888000,2021-09-29 04:00:00 +0000 UTC,12.61,12.17,9.79,12.93,1027,86,1.83,0.895706,93,overcast clouds,2021-09-29,4,0.0,0.0,0.0,None,3
5,1632891600,2021-09-29 05:00:00 +0000 UTC,12.62,12.16,11.72,12.93,1028,85,2.04,0.895706,90,overcast clouds,2021-09-29,5,0.0,0.0,0.0,None,3
6,1632895200,2021-09-29 06:00:00 +0000 UTC,12.61,12.09,11.12,12.93,1028,83,1.98,0.895706,83,broken clouds,2021-09-29,6,0.0,0.0,0.0,None,3
7,1632898800,2021-09-29 07:00:00 +0000 UTC,13.27,12.69,10.34,13.48,1028,78,2.34,0.895706,87,overcast clouds,2021-09-29,7,0.0,0.0,0.0,None,3
8,1632902400,2021-09-29 08:00:00 +0000 UTC,16.14,15.77,11.77,16.26,1029,75,2.15,0.895706,65,broken clouds,2021-09-29,8,0.0,0.0,0.0,None,3
9,1632906000,2021-09-29 09:00:00 +0000 UTC,18.85,18.54,15.57,19.04,1029,67,1.76,0.895706,18,few clouds,2021-09-29,9,0.0,0.0,0.0,None,3
10,1632909600,2021-09-29 10:00:00 +0000 UTC,19.83,19.59,17.57,20.15,1029,66,2.09,0.895706,3,sky is clear,2021-09-29,10,0.0,0.0,0.0,None,3
11,1632913200,2021-09-29 11:00:00 +0000 UTC,20.71,20.53,20.57,21.77,1029,65,2.69,0.895706,12,few clouds,2021-09-29,11,0.0,0.0,0.0,None,3
12,1632916800,2021-09-29 12:00:00 +0000 UTC,21.76,21.66,20.72,22.23,1028,64,2.86,0.895706,25,scattered clouds,2021-09-29,12,0.0,0.0,0.0,None,3
13,1632920400,2021-09-29 13:00:00 +0000 UTC,22.82,22.75,19.72,24.54,1028,61,2.78,0.895706,26,scattered clouds,2021-09-29,13,0.0,0.0,0.0,None,3
14,1632924000,2021-09-29 14:00:00 +0000 UTC,23.34,23.32,20.72,23.48,1027,61,2.71,0.895706,31,scattered clouds,2021-09-29,14,0.0,0.0,0.0,None,3
910,1636149600,2021-11-05 22:00:00 +0000 UTC,10.63,9.6,9.72,10.7,1028,71,2.98,0.895706,0,sky is clear,2021-11-05,22,0.0,0.342,0.0,None,3
911,1636153200,2021-11-05 23:00:00 +0000 UTC,8.68,7.08,7.72,10.11,1029,81,2.76,0.895706,0,sky is clear,2021-11-05,23,0.0,0.318,0.0,None,3
912,1636156800,2021-11-06 00:00:00 +0000 UTC,9.57,8.33,8.99,9.59,1028,77,2.48,0.895706,2,sky is clear,2021-11-06,0,0.0,0.263,0.0,None,3
913,1636160400,2021-11-06 01:00:00 +0000 UTC,9.57,8.52,8.99,9.59,1029,78,2.21,0.895706,0,sky is clear,2021-11-06,1,0.0,0.241,0.0,None,3
914,1636164000,2021-11-06 02:00:00 +0000 UTC,8.97,7.83,7.72,9.04,1029,79,2.2,0.895706,0,sky is clear,2021-11-06,2,0.0,0.239,0.0,None,3
915,1636167600,2021-11-06 03:00:00 +0000 UTC,8.91,7.81,6.72,9.04,1029,78,2.14,0.895706,0,sky is clear,2021-11-06,3,0.0,0.252,0.0,None,3
916,1636171200,2021-11-06 04:00:00 +0000 UTC,9.35,8.27,5.72,9.59,1029,76,2.2,0.895706,0,sky is clear,2021-11-06,4,0.0,0.365,0.0,None,3
917,1636174800,2021-11-06 05:00:00 +0000 UTC,8.9,7.72,5.9,9.04,1029,77,2.23,0.895706,0,sky is clear,2021-11-06,5,0.0,0.256,0.0,None,3
918,1636178400,2021-11-06 06:00:00 +0000 UTC,8.76,7.53,3.72,9.04,1030,77,2.26,0.895706,0,sky is clear,2021-11-06,6,0.0,0.254,0.0,None,3
934,1636236000,2021-11-06 22:00:00 +0000 UTC,9.25,8.17,6.45,10.67,1030,89,2.18,0.895706,21,few clouds,2021-11-06,22,0.0,0.346,0.0,None,3
935,1636239600,2021-11-06 23:00:00 +0000 UTC,8.54,7.65,5.9,10.67,1030,91,1.83,0.895706,53,broken clouds,2021-11-06,23,0.0,0.458,0.0,None,3
936,1636243200,2021-11-07 00:00:00 +0000 UTC,8.2,7.21,5.9,9.55,1029,92,1.88,0.895706,0,sky is clear,2021-11-07,0,0.0,0.321,0.0,None,3
937,1636246800,2021-11-07 01:00:00 +0000 UTC,7.21,5.98,5.34,7.88,1029,92,1.96,0.895706,0,sky is clear,2021-11-07,1,0.0,0.317,0.0,None,3
938,1636250400,2021-11-07 02:00:00 +0000 UTC,7.6,6.43,7.32,7.79,1028,89,1.96,0.895706,0,sky is clear,2021-11-07,2,0.0,0.33,0.0,None,3
939,1636254000,2021-11-07 03:00:00 +0000 UTC,6.32,4.88,4.79,8.9,1028,89,2.03,0.895706,0,sky is clear,2021-11-07,3,0.0,0.302,0.0,None,3
940,1636257600,2021-11-07 04:00:00 +0000 UTC,6.08,4.63,4.79,8.34,1028,91,2.0,0.895706,0,sky is clear,2021-11-07,4,0.0,0.276,0.0,None,3
941,1636261200,2021-11-07 05:00:00 +0000 UTC,5.51,3.97,4.23,8.34,1028,92,1.99,0.895706,0,sky is clear,2021-11-07,5,0.0,0.264,0.0,None,3
942,1636264800,2021-11-07 06:00:00 +0000 UTC,4.51,2.76,3.72,8.34,1028,92,2.04,0.895706,0,sky is clear,2021-11-07,6,0.0,0.251,0.0,None,3
958,1636322400,2021-11-07 22:00:00 +0000 UTC,12.68,11.7,8.72,13.44,1025,65,1.72,0.895706,100,overcast clouds,2021-11-07,22,0.0,0.435,0.0,None,3
959,1636326000,2021-11-07 23:00:00 +0000 UTC,11.45,10.87,9.79,12.33,1025,85,1.61,0.895706,99,overcast clouds,2021-11-07,23,0.0,0.388,0.0,None,3
960,1636329600,2021-11-08 00:00:00 +0000 UTC,11.7,11.09,9.79,12.79,1025,83,1.71,0.895706,99,overcast clouds,2021-11-08,0,0.0,0.382,0.0,None,3
961,1636333200,2021-11-08 01:00:00 +0000 UTC,12.26,11.32,9.23,12.37,1024,68,1.87,0.895706,88,overcast clouds,2021-11-08,1,0.0,0.396,0.0,None,3
962,1636336800,2021-11-08 02:00:00 +0000 UTC,12.68,11.67,8.68,12.93,1024,64,1.96,0.895706,85,overcast clouds,2021-11-08,2,0.0,0.383,0.0,None,3
963,1636340400,2021-11-08 03:00:00 +0000 UTC,10.03,9.33,8.68,12.23,1024,86,2.23,0.895706,65,broken clouds,2021-11-08,3,0.0,0.387,0.0,None,3
964,1636344000,2021-11-08 04:00:00 +0000 UTC,10.03,9.36,8.68,12.23,1023,87,2.11,0.895706,26,scattered clouds,2021-11-08,4,0.0,0.285,0.0,None,3
965,1636347600,2021-11-08 05:00:00 +0000 UTC,11.73,10.73,8.72,12.23,1023,68,1.93,0.895706,60,broken clouds,2021-11-08,5,0.0,0.272,0.0,None,3
966,1636351200,2021-11-08 06:00:00 +0000 UTC,12.31,11.37,10.72,12.37,1023,68,1.75,0.895706,48,scattered clouds,2021-11-08,6,0.0,0.255,0.0,None,3
982,1636408800,2021-11-08 22:00:00 +0000 UTC,13.95,13.46,11.77,14.04,1021,79,1.94,0.895706,0,sky is clear,2021-11-08,22,0.0,0.512,0.0,None,3
983,1636412400,2021-11-08 23:00:00 +0000 UTC,14.9,14.43,10.72,15.15,1021,76,1.95,0.895706,4,sky is clear,2021-11-08,23,0.0,0.448,0.0,None,3
984,1636416000,2021-11-09 00:00:00 +0000 UTC,14.88,14.38,9.72,15.15,1020,75,1.87,0.895706,8,sky is clear,2021-11-09,0,0.0,1.19,0.0,None,3
985,1636419600,2021-11-09 01:00:00 +0000 UTC,10.88,10.48,10.72,12.23,1020,94,1.78,0.895706,19,few clouds,2021-11-09,1,0.0,0.292,0.0,None,3
986,1636423200,2021-11-09 02:00:00 +0000 UTC,9.93,9.47,9.72,11.68,1020,93,1.6,0.895706,29,scattered clouds,2021-11-09,2,0.0,0.264,0.0,None,3
987,1636426800,2021-11-09 03:00:00 +0000 UTC,11.78,11.44,10.9,12.23,1020,93,1.71,0.895706,44,scattered clouds,2021-11-09,3,0.0,0.305,0.0,None,3
988,1636430400,2021-11-09 04:00:00 +0000 UTC,9.99,9.25,9.72,12.23,1019,94,1.92,0.895706,18,few clouds,2021-11-09,4,0.0,0.259,0.0,None,3
989,1636434000,2021-11-09 05:00:00 +0000 UTC,8.27,7.04,7.72,12.79,1019,95,2.16,0.895706,8,sky is clear,2021-11-09,5,0.0,0.261,0.0,None,3
