app_temp,azimuth,clouds,datetime,dewpt,dhi,dni,elev_angle,ghi,h_angle,pod,precip,pres,revision_status,rh,slp,snow,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/icon,weather/description,weather/code,wind_dir,wind_gust_spd,wind_spd
11.9,350,95,2021-09-29:00,9.6,0,0,-50.4,0,,n,0,1000,final,86,1027,0,0,11.9,2021-09-29T01:00:00,2021-09-29T00:00:00,1632873600,0,,c04n,Overcast clouds,804,4,4,2
11.1,13.5,92,2021-09-29:01,9.2,0,0,-50.1,0,,n,0,1001,final,88,1028,0,0,11.1,2021-09-29T02:00:00,2021-09-29T01:00:00,1632877200,0,,c04n,Overcast clouds,804,20,4,2
10.7,34.8,96,2021-09-29:02,8.8,0,0,-45.5,0,,n,0,1000,final,88,1027,0,0,10.7,2021-09-29T03:00:00,2021-09-29T02:00:00,1632880800,0,,c04n,Overcast clouds,804,32,4,2
10.7,52.1,94,2021-09-29:03,8.8,0,0,-37.8,0,,n,0,1000,final,88,1027,0,0,10.7,2021-09-29T04:00:00,2021-09-29T03:00:00,1632884400,0,,c04n,Overcast clouds,804,36,4,2
10.4,65.9,89,2021-09-29:04,9,0,0,-28.2,0,,n,0,1000,final,91,1027,0,0,10.4,2021-09-29T05:00:00,2021-09-29T04:00:00,1632888000,0,,c04n,Overcast clouds,804,36,4,2
10.4,77.4,78,2021-09-29:05,9,0,0,-17.6,0,,n,0,1001,final,91,1028,0,0,10.4,2021-09-29T06:00:00,2021-09-29T05:00:00,1632891600,0,,c04n,Overcast clouds,804,42,4,2
10.4,87.7,78,2021-09-29:06,8.5,0,0,-6.5,0,,n,0,1001,final,88,1028,0,0,10.4,2021-09-29T07:00:00,2021-09-29T06:00:00,1632895200,0,,c04n,Overcast clouds,804,46,4,2
10.7,97.7,67,2021-09-29:07,8.8,33,280,4.7,47,,d,0,1002,final,88,1029,0,36,10.7,2021-09-29T08:00:00,2021-09-29T07:00:00,1632898800,0.9,,c03n,Broken clouds,803,44,4.4,2
13.3,108.2,47,2021-09-29:08,10.3,68,602,15.6,222,,d,0,1002,final,82,1029,0,200,13.3,2021-09-29T09:00:00,2021-09-29T08:00:00,1632902400,1.4,,c03d,Broken clouds,803,40,5.2,2
16.7,119.9,7,2021-09-29:09,11.8,87,742,25.8,404,,d,0,1002,final,73,1029,0,390,16.7,2021-09-29T10:00:00,2021-09-29T09:00:00,1632906000,2.6,,c02d,Few clouds,801,22,5.2,1.6
19.3,133.9,21,2021-09-29:10,12.8,100,817,34.8,560,,d,0,1003,final,65,1029,0,538,19.6,2021-09-29T11:00:00,2021-09-29T10:00:00,1632909600,3.3,,c02d,Scattered clouds,802,26,6,2.4
20.5,150.9,19,2021-09-29:11,13.4,107,858,41.6,671,,d,0,1003,final,63,1029,0,644,20.7,2021-09-29T12:00:00,2021-09-29T11:00:00,1632913200,4.4,,c02d,Few clouds,801,10,6.8,2.4
21.7,171,20,2021-09-29:12,13.8,111,876,45.3,727,,d,0,1002,final,60,1028,0,697,21.9,2021-09-29T13:00:00,2021-09-29T12:00:00,1632916800,5,,c02d,Few clouds,801,6,7.2,2.8
22.4,192.3,15,2021-09-29:13,13.4,110,875,45,722,,d,0,1002,final,56,1028,0,695,22.6,2021-09-29T14:00:00,2021-09-29T13:00:00,1632920400,5.1,,c02d,Few clouds,801,4,7.6,2.8
23,211.9,40,2021-09-29:14,12.9,106,853,40.7,656,,d,0,1001,final,52,1027,0,607,23.3,2021-09-29T15:00:00,2021-09-29T14:00:00,1632924000,3.5,,c02d,Scattered clouds,802,358,7.2,2.8
23,228.4,54,2021-09-29:15,12.9,98,807,33.4,537,,d,0,1000,final,52,1026,0,459,23.3,2021-09-29T16:00:00,2021-09-29T15:00:00,1632927600,2.3,,c03d,Broken clouds,803,348,7.2,2.8
22.7,241.9,37,2021-09-29:16,12.9,85,724,24.2,375,,d,0,1000,final,53,1026,0,350,23,2021-09-29T17:00:00,2021-09-29T16:00:00,1632931200,1.9,,c02d,Scattered clouds,802,336,7.6,3.2
21.4,253.4,24,2021-09-29:17,14.2,63,568,13.9,192,,d,0,1000,final,63,1026,0,183,21.5,2021-09-29T18:00:00,2021-09-29T17:00:00,1632934800,1.6,,c02d,Scattered clouds,802,328,6.8,3.2
19.4,263.7,9,2021-09-29:18,13.3,24,180,2.9,24,,d,0,1000,final,67,1026,0,47,19.6,2021-09-29T19:00:00,2021-09-29T18:00:00,1632938400,1.6,,c02n,Few clouds,801,328,6.4,3.6
17.4,273.7,1,2021-09-29:19,12.9,0,0,-8.4,0,,n,0,1000,final,75,1027,0,0,17.4,2021-09-29T20:00:00,2021-09-29T19:00:00,1632942000,0,,c01n,Clear Sky,800,334,6,3.2
17,284.1,0,2021-09-29:20,12.5,0,0,-19.4,0,,n,0,1000,final,75,1027,0,0,17,2021-09-29T21:00:00,2021-09-29T20:00:00,1632945600,0,,c01n,Clear Sky,800,346,5.6,2.8
15.9,295.9,5,2021-09-29:21,12.3,0,0,-30,0,,n,0,1000,final,79,1027,0,0,15.9,2021-09-29T22:00:00,2021-09-29T21:00:00,1632949200,0,,c02n,Few clouds,801,0,5.6,2.8
14.8,310.1,31,2021-09-29:22,11.8,0,0,-39.4,0,,n,0,1000,final,82,1027,0,0,14.8,2021-09-29T23:00:00,2021-09-29T22:00:00,1632952800,0,,c02n,Scattered clouds,802,18,4.8,2.4
14.4,328,2,2021-09-29:23,11.4,0,0,-46.8,0,,n,0,1000,final,82,1027,0,0,14.4,2021-09-30T00:00:00,2021-09-29T23:00:00,1632956400,0,,c02n,Few clouds,801,26,4.8,2.4
13.7,350,40,2021-09-30:00,11.4,0,0,-50.8,0,,n,0,1000,final,86,1027,0,0,13.7,2021-09-30T01:00:00,2021-09-30T00:00:00,1632960000,0,,c02n,Scattered clouds,802,32,4.4,2
13,13.8,93,2021-09-30:01,10.7,0,0,-50.5,0,,n,0,999,final,86,1026,0,0,13,2021-09-30T02:00:00,2021-09-30T01:00:00,1632963600,0,,c04n,Overcast clouds,804,28,4.4,2
12.6,35.2,99,2021-09-30:02,10.3,0,0,-45.8,0,,n,0,999,final,86,1026,0,0,12.6,2021-09-30T03:00:00,2021-09-30T02:00:00,1632967200,0,,c04n,Overcast clouds,804,26,4,2
11.5,52.5,86,2021-09-30:03,9.6,0,0,-38,0,,n,0,998,final,88,1025,0,0,11.5,2021-09-30T04:00:00,2021-09-30T03:00:00,1632970800,0,,c04n,Overcast clouds,804,30,4,1.6
11.1,66.3,64,2021-09-30:04,9.7,0,0,-28.4,0,,n,0,998,final,91,1025,0,0,11.1,2021-09-30T05:00:00,2021-09-30T04:00:00,1632974400,0,,c03n,Broken clouds,803,32,4,2
