app_temp,azimuth,clouds,datetime,dewpt,dhi,dni,elev_angle,ghi,h_angle,pod,precip,pres,revision_status,rh,slp,snow,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/code,weather/icon,weather/description,wind_dir,wind_gust_spd,wind_spd
13.3,333.7,100,2023-01-01:00,13,0,0,-69.8,0,,n,0.75,992,final,98,1019,0,0,13.3,2023-01-01T00:00:00,2023-01-01T00:00:00,1672531200,0,10,500,r01n,Light rain,186,12.4,2
13.7,15.4,100,2023-01-01:01,12.9,0,0,-70.9,0,,n,0.5,991,final,95,1018,0,0,13.7,2023-01-01T01:00:00,2023-01-01T01:00:00,1672534800,0,10,804,c04n,Overcast clouds,172,15.2,2
14.1,48.9,100,2023-01-01:02,13,0,0,-64.8,0,,n,0.5,990,final,93,1017,0,0,14.1,2023-01-01T02:00:00,2023-01-01T02:00:00,1672538400,0,10,804,c04n,Overcast clouds,154,16.8,2.8
14.4,68.9,100,2023-01-01:03,12.6,0,0,-55.2,0,,n,0.5,989,final,89,1016,0,0,14.4,2023-01-01T03:00:00,2023-01-01T03:00:00,1672542000,0,10,804,c04n,Overcast clouds,156,15.6,3.6
14.8,82.2,100,2023-01-01:04,12.1,0,0,-44.3,0,,n,1.75,988,final,84,1015,0,0,14.8,2023-01-01T04:00:00,2023-01-01T04:00:00,1672545600,0,10,500,r01n,Light rain,162,15.6,4.4
14.4,92.6,99,2023-01-01:05,12.3,0,0,-33.1,0,,n,4.75,987,final,87,1014,0,0,14.4,2023-01-01T05:00:00,2023-01-01T05:00:00,1672549200,0,16,501,r02n,Moderate rain,170,16,6.4
14.8,101.9,100,2023-01-01:06,12.1,0,0,-22,0,,n,9.5,987,final,84,1014,0,0,14.8,2023-01-01T06:00:00,2023-01-01T06:00:00,1672552800,0,16,502,r03n,Heavy rain,176,17.2,8.4
14.8,110.9,100,2023-01-01:07,12.1,0,0,-11.3,0,,n,7,988,final,84,1015,0,0,14.8,2023-01-01T07:00:00,2023-01-01T07:00:00,1672556400,0,16,502,r03n,Heavy rain,176,20.8,8.4
14.8,120.4,100,2023-01-01:08,12.7,0,0,-1.2,0,,n,2,988,final,87,1015,0,0,14.8,2023-01-01T08:00:00,2023-01-01T08:00:00,1672560000,0,16,500,r01n,Light rain,172,20.8,8.4
14.1,130.8,100,2023-01-01:09,12.3,48,428,7.9,98,,d,8.5,987,final,89,1014,0,27,14.1,2023-01-01T09:00:00,2023-01-01T09:00:00,1672563600,0.4,16,502,r03d,Heavy rain,170,21.2,8.4
14.1,142.4,100,2023-01-01:10,11.4,70,626,15.7,232,,d,8.25,988,final,84,1015,0,40,14.1,2023-01-01T10:00:00,2023-01-01T10:00:00,1672567200,0.5,10,502,r03d,Heavy rain,168,20.8,7.2
14.1,155.7,100,2023-01-01:11,11.8,83,718,21.4,338,,d,3.5,987,final,86,1014,0,75,14.1,2023-01-01T11:00:00,2023-01-01T11:00:00,1672570800,0.6,10,500,r01d,Light rain,174,22.8,7.2
